# search for squarks and gluinos
# 0 leptons, 2-6 jets, MET
# only Meff, no jigsaw
# Moriond 2017, 40/fb

Inputfile:
XSect:           694500 fb
 Error:          3628 fb
MCEvents:        10000
 SumOfWeights:   10000
 SumOfWeights2:  10000
 NormEvents:     2.50714e+07

Cut                    Sum_W  Sum_W2  Acc     N_Norm       
00_all                 10000  10000   1       2.50714e+07  
01_trigger             1057   1057    0.1057  2.65005e+06  
02_lepton_veto         398    398     0.0398  997844       
03_met>250             9      9       0.0009  22564.3      
04_meff>800            3      3       0.0003  7521.44      
05_2j_pt>50            3      3       0.0003  7521.44      
2j-1200_06_jetmulti    3      3       0.0003  7521.44      
2j-1200_07_dPhilow     2      2       0.0002  5014.29      
2j-1200_08_dPhihigh    2      2       0.0002  5014.29      
2j-1600_06_jetmulti    3      3       0.0003  7521.44      
2j-1600_07_dPhilow     2      2       0.0002  5014.29      
2j-1600_08_dPhihigh    2      2       0.0002  5014.29      
2j-2000_06_jetmulti    3      3       0.0003  7521.44      
2j-2000_07_dPhilow     2      2       0.0002  5014.29      
2j-2000_08_dPhihigh    2      2       0.0002  5014.29      
2j-2100_06_jetmulti    3      3       0.0003  7521.44      
2j-2100_07_dPhilow     2      2       0.0002  5014.29      
2j-2100_08_dPhihigh    2      2       0.0002  5014.29      
2j-2400_06_jetmulti    3      3       0.0003  7521.44      
2j-2400_07_dPhilow     2      2       0.0002  5014.29      
2j-2400_08_dPhihigh    2      2       0.0002  5014.29      
2j-2800_06_jetmulti    3      3       0.0003  7521.44      
2j-2800_07_dPhilow     2      2       0.0002  5014.29      
2j-2800_08_dPhihigh    2      2       0.0002  5014.29      
2j-3600_06_jetmulti    3      3       0.0003  7521.44      
2j-3600_07_dPhilow     2      2       0.0002  5014.29      
2j-3600_08_dPhihigh    2      2       0.0002  5014.29      
2j-B0000_00_2LRjets    1      1       0.0001  2507.14      
3j-1300_06_jetmulti    2      2       0.0002  5014.29      
3j-1300_07_dPhilow     1      1       0.0001  2507.14      
3j-1300_08_dPhihigh    1      1       0.0001  2507.14      
4j-1000_06_jetmulti    1      1       0.0001  2507.14      
4j-1000_07_dPhilow     1      1       0.0001  2507.14      
4j-1000_08_dPhihigh    1      1       0.0001  2507.14      
4j-1400_06_jetmulti    1      1       0.0001  2507.14      
4j-1400_07_dPhilow     1      1       0.0001  2507.14      
4j-1400_08_dPhihigh    1      1       0.0001  2507.14      
4j-1800_06_jetmulti    1      1       0.0001  2507.14      
4j-1800_07_dPhilow     1      1       0.0001  2507.14      
4j-1800_08_dPhihigh    1      1       0.0001  2507.14      
4j-2200_06_jetmulti    1      1       0.0001  2507.14      
4j-2200_07_dPhilow     1      1       0.0001  2507.14      
4j-2200_08_dPhihigh    1      1       0.0001  2507.14      
4j-2600_06_jetmulti    1      1       0.0001  2507.14      
4j-2600_07_dPhilow     1      1       0.0001  2507.14      
4j-2600_08_dPhihigh    1      1       0.0001  2507.14      
4j-3000_06_jetmulti    1      1       0.0001  2507.14      
4j-3000_07_dPhilow     1      1       0.0001  2507.14      
4j-3000_08_dPhihigh    1      1       0.0001  2507.14      
5j-1600_06_jetmulti    1      1       0.0001  2507.14      
5j-1600_07_dPhilow     1      1       0.0001  2507.14      
5j-1600_08_dPhihigh    1      1       0.0001  2507.14      
5j-1600_09_PTjets      1      1       0.0001  2507.14      
5j-1600_10_Etajets     1      1       0.0001  2507.14      
5j-1700_06_jetmulti    1      1       0.0001  2507.14      
5j-1700_07_dPhilow     1      1       0.0001  2507.14      
5j-1700_08_dPhihigh    1      1       0.0001  2507.14      
5j-2000_06_jetmulti    1      1       0.0001  2507.14      
5j-2000_07_dPhilow     1      1       0.0001  2507.14      
5j-2000_08_dPhihigh    1      1       0.0001  2507.14      
5j-2000_09_PTjets      1      1       0.0001  2507.14      
5j-2000_10_Etajets     1      1       0.0001  2507.14      
5j-2000_11_aplanarity  1      1       0.0001  2507.14      
5j-2600_06_jetmulti    1      1       0.0001  2507.14      
5j-2600_07_dPhilow     1      1       0.0001  2507.14      
5j-2600_08_dPhihigh    1      1       0.0001  2507.14      
5j-2600_09_PTjets      1      1       0.0001  2507.14      
5j-2600_10_Etajets     1      1       0.0001  2507.14      
5j-2600_11_aplanarity  1      1       0.0001  2507.14      
