# model-independent search for whatever
# numbers from histograms, errors might happen
# interpret results with caution
# additional signal regions in cutflow

Inputfile:
XSect:           694500 fb
 Error:          3628 fb
MCEvents:        10000
 SumOfWeights:   10000
 SumOfWeights2:  10000
 NormEvents:     2.22934e+06

SR           Sum_W  Sum_W2  Acc     N_Norm   
10j          1      1       0.0001  222.935  
11j          0      0       0       0        
12j          0      0       0       0        
131b8j       0      0       0       0        
13j          0      0       0       0        
14j          0      0       0       0        
1b10j        0      0       0       0        
1b11j        0      0       0       0        
1b1j         1055   1055    0.1055  235196   
1b2j         700    700     0.07    156054   
1b3j         309    309     0.0309  68886.8  
1b4j         94     94      0.0094  20955.8  
1b5j         31     31      0.0031  6910.97  
1b6j         7      7       0.0007  1560.54  
1b7j         1      1       0.0001  222.935  
1b8j         0      0       0       0        
1b9j         0      0       0       0        
1e1b4j       3      3       0.0003  668.803  
1e1b5j       2      2       0.0002  445.869  
1e1b6j       0      0       0       0        
1e1b7j       0      0       0       0        
1e1b9j       0      0       0       0        
1e1g         1      1       0.0001  222.935  
1e1g1b       0      0       0       0        
1e1g1b1j     1      1       0.0001  222.935  
1e1g1b2j     0      0       0       0        
1e1g1b3j     0      0       0       0        
1e1g1b4j     0      0       0       0        
1e1g1b5j     0      0       0       0        
1e1g1j       0      0       0       0        
1e1g2b       0      0       0       0        
1e1g2b1j     0      0       0       0        
1e1g2b2j     0      0       0       0        
1e1g2b3j     0      0       0       0        
1e1g2b4j     0      0       0       0        
1e1g2b5j     0      0       0       0        
1e1g2j       0      0       0       0        
1e1g3b       0      0       0       0        
1e1g3b1j     0      0       0       0        
1e1g3b2j     0      0       0       0        
1e1g3b3j     0      0       0       0        
1e1g3j       0      0       0       0        
1e1g4j       0      0       0       0        
1e1g5j       0      0       0       0        
1e1g6j       0      0       0       0        
1e1g7j       0      0       0       0        
1e2b         44     44      0.0044  9809.12  
1e2b1j       34     34      0.0034  7579.77  
1e2b2j       10     10      0.001   2229.34  
1e2b3j       2      2       0.0002  445.869  
1e2b4j       2      2       0.0002  445.869  
1e2b5j       0      0       0       0        
1e2b6j       0      0       0       0        
1e2b7j       0      0       0       0        
1e2b8j       0      0       0       0        
1e2g         0      0       0       0        
1e2g1b1j     0      0       0       0        
1e2g1b2j     0      0       0       0        
1e2g1j       0      0       0       0        
1e2g2j       0      0       0       0        
1e2g3j       0      0       0       0        
1e3b         6      6       0.0006  1337.61  
1e3b1j       2      2       0.0002  445.869  
1e3b2j       2      2       0.0002  445.869  
1e3b3j       0      0       0       0        
1e3b4j       0      0       0       0        
1e3b5j       0      0       0       0        
1e3b6j       0      0       0       0        
1e4b         1      1       0.0001  222.935  
1e4b1j       0      0       0       0        
1e4b2j       0      0       0       0        
1e4b3j       0      0       0       0        
1e4b4j       0      0       0       0        
1e4b5j       0      0       0       0        
1e5b         0      0       0       0        
1e5b1j       0      0       0       0        
1e5b2j       0      0       0       0        
1e5j         4      4       0.0004  891.738  
1e6j         1      1       0.0001  222.935  
1e7j         0      0       0       0        
1e8j         0      0       0       0        
1e9j         0      0       0       0        
1g10j        0      0       0       0        
1g1b         2      2       0.0002  445.869  
1g1b1j       4      4       0.0004  891.738  
1g1b2j       1      1       0.0001  222.935  
1g1b3j       0      0       0       0        
1g1b4j       0      0       0       0        
1g1b5j       1      1       0.0001  222.935  
1g1b6j       0      0       0       0        
1g1b7j       0      0       0       0        
1g1b8j       0      0       0       0        
1g1j         2      2       0.0002  445.869  
1g2b         3      3       0.0003  668.803  
1g2b1j       0      0       0       0        
1g2b2j       0      0       0       0        
1g2b3j       0      0       0       0        
