# search for sleptons and electroweakinos with soft leptons

Inputfile:
XSect:           694500 fb
 Error:          3628 fb
MCEvents:        10000
 SumOfWeights:   10000
 SumOfWeights2:  10000
 NormEvents:     9.65355e+07

SR               Sum_W  Sum_W2  Acc  N_Norm  
E-high-ee-05     0      0       0    0       
E-high-ee-10     0      0       0    0       
E-high-ee-20     0      0       0    0       
E-high-ee-30     0      0       0    0       
E-high-ee-40     0      0       0    0       
E-high-ee-60     0      0       0    0       
E-high-mm-02     0      0       0    0       
E-high-mm-03     0      0       0    0       
E-high-mm-05     0      0       0    0       
E-high-mm-10     0      0       0    0       
E-high-mm-20     0      0       0    0       
E-high-mm-30     0      0       0    0       
E-high-mm-40     0      0       0    0       
E-high-mm-60     0      0       0    0       
E-inc-01         0      0       0    0       
E-inc-02         0      0       0    0       
E-inc-03         0      0       0    0       
E-inc-05         0      0       0    0       
E-inc-10         0      0       0    0       
E-inc-20         0      0       0    0       
E-inc-30         0      0       0    0       
E-inc-40         0      0       0    0       
E-inc-60         0      0       0    0       
E-low-ee-05      0      0       0    0       
E-low-ee-10      0      0       0    0       
E-low-ee-20      0      0       0    0       
E-low-ee-30      0      0       0    0       
E-low-ee-40      0      0       0    0       
E-low-ee-60      0      0       0    0       
E-low-mm-02      0      0       0    0       
E-low-mm-03      0      0       0    0       
E-low-mm-05      0      0       0    0       
E-low-mm-10      0      0       0    0       
E-low-mm-20      0      0       0    0       
E-low-mm-30      0      0       0    0       
E-low-mm-40      0      0       0    0       
E-low-mm-60      0      0       0    0       
E-med-ee-05      0      0       0    0       
E-med-ee-10      0      0       0    0       
E-med-ee-20      0      0       0    0       
E-med-ee-30      0      0       0    0       
E-med-mm-02      0      0       0    0       
E-med-mm-03      0      0       0    0       
E-med-mm-05      0      0       0    0       
E-med-mm-10      0      0       0    0       
E-med-mm-20      0      0       0    0       
E-med-mm-30      0      0       0    0       
S-high-ee-00     0      0       0    0       
S-high-ee-01     0      0       0    0       
S-high-ee-02     0      0       0    0       
S-high-ee-05     0      0       0    0       
S-high-ee-10     0      0       0    0       
S-high-ee-20     0      0       0    0       
S-high-ee-30     0      0       0    0       
S-high-ee-40     0      0       0    0       
S-high-mm-00     0      0       0    0       
S-high-mm-01     0      0       0    0       
S-high-mm-02     0      0       0    0       
S-high-mm-05     0      0       0    0       
S-high-mm-10     0      0       0    0       
S-high-mm-20     0      0       0    0       
S-high-mm-30     0      0       0    0       
S-high-mm-40     0      0       0    0       
S-inc-00         0      0       0    0       
S-inc-01         0      0       0    0       
S-inc-02         0      0       0    0       
S-inc-05         0      0       0    0       
S-inc-10         0      0       0    0       
S-inc-20         0      0       0    0       
S-inc-30         0      0       0    0       
S-inc-40         0      0       0    0       
S-low-ee-00      0      0       0    0       
S-low-ee-01      0      0       0    0       
S-low-ee-02      0      0       0    0       
S-low-ee-05      0      0       0    0       
S-low-ee-10      0      0       0    0       
S-low-ee-20      0      0       0    0       
S-low-ee-30      0      0       0    0       
S-low-ee-40      0      0       0    0       
S-low-mm-00      0      0       0    0       
S-low-mm-01      0      0       0    0       
S-low-mm-02      0      0       0    0       
S-low-mm-05      0      0       0    0       
S-low-mm-10      0      0       0    0       
S-low-mm-20      0      0       0    0       
S-low-mm-30      0      0       0    0       
S-low-mm-40      0      0       0    0       
SR-1L1T-1.0      0      0       0    0       
SR-1L1T-1.5      0      0       0    0       
SR-1L1T-2.0      0      0       0    0       
SR-1L1T-3.0      0      0       0    0       
SR-1L1T-4.0      0      0       0    0       
SR-1L1T-5.0      0      0       0    0       
VBF-high-02      0      0       0    0       
VBF-high-03      0      0       0    0       
VBF-high-05      0      0       0    0       
VBF-high-10      0      0       0    0       
VBF-high-20      0      0       0    0       
VBF-high-30      0      0       0    0       
VBF-high-40      0      0       0    0       
VBF-high-inc-02  0      0       0    0       
VBF-high-inc-03  0      0       0    0       
VBF-high-inc-05  0      0       0    0       
VBF-high-inc-10  0      0       0    0       
VBF-high-inc-20  0      0       0    0       
VBF-high-inc-30  0      0       0    0       
VBF-high-inc-40  0      0       0    0       
VBF-inc-02       0      0       0    0       
VBF-inc-03       0      0       0    0       
VBF-inc-05       0      0       0    0       
VBF-inc-10       0      0       0    0       
VBF-inc-20       0      0       0    0       
VBF-inc-30       0      0       0    0       
VBF-inc-40       0      0       0    0       
VBF-low-02       0      0       0    0       
VBF-low-03       0      0       0    0       
VBF-low-05       0      0       0    0       
VBF-low-10       0      0       0    0       
VBF-low-20       0      0       0    0       
VBF-low-30       0      0       0    0       
VBF-low-40       0      0       0    0       
