# ATLAS search for RPV susy in a final state containing leptons and many jets

Inputfile:
XSect:           694500 fb
 Error:          3628 fb
MCEvents:        10000
 SumOfWeights:   10000
 SumOfWeights2:  10000
 NormEvents:     9.65355e+07

Cut                          Sum_W  Sum_W2  Acc     N_Norm       
01_nLeptons>0                2462   2462    0.2462  2.3767e+07   
02_leadLep_PT>27             2065   2065    0.2065  1.99346e+07  
03_1l event                  2064   2064    0.2064  1.99249e+07  
04_2lSC event                1      1       0.0001  9653.55      
05_no 1l or 2lSC candidates  2065   2065    0.2065  1.99346e+07  
06_EW_1l_4b_4j               1      1       0.0001  9653.55      
06_EW_1l_4b_5j               1      1       0.0001  9653.55      
06_EW_1l_4b_7j               1      1       0.0001  9653.55      
06_EW_1l_4j                  463    463     0.0463  4.46959e+06  
06_EW_1l_5j                  354    354     0.0354  3.41736e+06  
06_EW_1l_6j                  150    150     0.015   1.44803e+06  
06_EW_1l_7j                  59     59      0.0059  569559       
06_EW_1l_8j                  20     20      0.002   193071       
07_1l_pT>20_06j              236    236     0.0236  2.27824e+06  
07_1l_pT>20_08j              27     27      0.0027  260646       
07_1l_pT>20_0b_06j           30     30      0.003   289606       
07_1l_pT>20_0b_08j           2      2       0.0002  19307.1      
07_1l_pT>20_10j              3      3       0.0003  28960.7      
07_1l_pT>20_11j              1      1       0.0001  9653.55      
07_1l_pT>20_>2b_06j          22     22      0.0022  212378       
07_1l_pT>20_>2b_08j          4      4       0.0004  38614.2      
07_1l_pT>20_>2b_10j          1      1       0.0001  9653.55      
07_1l_pT>20_>2b_11j          1      1       0.0001  9653.55      
07_1l_pT>40_06j              32     32      0.0032  308914       
07_1l_pT>40_08j              2      2       0.0002  19307.1      
07_1l_pT>40_0b_06j           5      5       0.0005  48267.8      
07_1l_pT>40_>2b_06j          1      1       0.0001  9653.55      
07_1l_pT>60_06j              6      6       0.0006  57921.3      
07_1l_pT>60_0b_06j           1      1       0.0001  9653.55      
07_1l_pT>80_06j              1      1       0.0001  9653.55      
