# cms
# cms pss sus-16-039
# 3 leptons
# sqrt(s) = 13 TeV
# int(L) = 35.9fb^-1

Inputfile:
XSect:           694500 fb
 Error:          3628 fb
MCEvents:        10000
 SumOfWeights:   10000
 SumOfWeights2:  10000
 NormEvents:     2.49326e+07

SR      Sum_W  Sum_W2  Acc     N_Norm   
SR_A01  0      0       0       0        
SR_A02  1      1       0.0001  2493.26  
SR_A03  0      0       0       0        
SR_A04  0      0       0       0        
SR_A05  0      0       0       0        
SR_A06  1      1       0.0001  2493.26  
SR_A07  0      0       0       0        
SR_A08  0      0       0       0        
SR_A09  0      0       0       0        
SR_A10  0      0       0       0        
SR_A11  0      0       0       0        
SR_A12  0      0       0       0        
SR_A13  0      0       0       0        
SR_A14  0      0       0       0        
SR_A15  0      0       0       0        
SR_A16  0      0       0       0        
SR_A17  0      0       0       0        
SR_A18  0      0       0       0        
SR_A19  0      0       0       0        
SR_A20  0      0       0       0        
SR_A21  0      0       0       0        
SR_A22  1      1       0.0001  2493.26  
SR_A23  0      0       0       0        
SR_A24  0      0       0       0        
SR_A25  0      0       0       0        
SR_A26  1      1       0.0001  2493.26  
SR_A27  0      0       0       0        
SR_A28  0      0       0       0        
SR_A29  0      0       0       0        
SR_A30  0      0       0       0        
SR_A31  0      0       0       0        
SR_A32  1      1       0.0001  2493.26  
SR_A33  0      0       0       0        
SR_A34  0      0       0       0        
SR_A35  0      0       0       0        
SR_A36  0      0       0       0        
SR_A37  0      0       0       0        
SR_A38  0      0       0       0        
SR_A39  0      0       0       0        
SR_A40  0      0       0       0        
SR_A41  0      0       0       0        
SR_A42  0      0       0       0        
SR_A43  0      0       0       0        
SR_A44  0      0       0       0        
SR_B01  1      1       0.0001  2493.26  
SR_B02  2      2       0.0002  4986.51  
SR_B03  0      0       0       0        
SR_B04  0      0       0       0        
SR_B05  0      0       0       0        
SR_B06  0      0       0       0        
SR_C01  0      0       0       0        
SR_C02  0      0       0       0        
SR_C03  0      0       0       0        
SR_C04  0      0       0       0        
SR_C05  0      0       0       0        
SR_C06  0      0       0       0        
SR_C07  0      0       0       0        
SR_C08  0      0       0       0        
SR_C09  0      0       0       0        
SR_C10  0      0       0       0        
SR_C11  0      0       0       0        
SR_C12  0      0       0       0        
SR_C13  0      0       0       0        
SR_C14  0      0       0       0        
SR_C15  0      0       0       0        
SR_C16  0      0       0       0        
SR_C17  1      1       0.0001  2493.26  
SR_C18  0      0       0       0        
SR_D01  0      0       0       0        
SR_D02  0      0       0       0        
SR_D03  0      0       0       0        
SR_D04  0      0       0       0        
SR_D05  0      0       0       0        
SR_D06  0      0       0       0        
SR_D07  0      0       0       0        
SR_D08  0      0       0       0        
SR_D09  0      0       0       0        
SR_D10  0      0       0       0        
SR_D11  1      1       0.0001  2493.26  
SR_D12  0      0       0       0        
SR_D13  0      0       0       0        
SR_D14  0      0       0       0        
SR_D15  0      0       0       0        
SR_D16  0      0       0       0        
SR_E01  0      0       0       0        
SR_E02  1      1       0.0001  2493.26  
SR_E03  0      0       0       0        
SR_E04  1      1       0.0001  2493.26  
SR_E05  0      0       0       0        
SR_E06  0      0       0       0        
SR_E07  0      0       0       0        
SR_E08  0      0       0       0        
SR_E09  0      0       0       0        
SR_E10  0      0       0       0        
SR_E11  0      0       0       0        
SR_E12  0      0       0       0        
SR_F01  0      0       0       0        
SR_F02  0      0       0       0        
SR_F03  0      0       0       0        
SR_F04  0      0       0       0        
SR_F05  0      0       0       0        
SR_F06  0      0       0       0        
SR_F07  0      0       0       0        
SR_F08  0      0       0       0        
SR_F09  0      0       0       0        
SR_F10  0      0       0       0        
SR_F11  0      0       0       0        
SR_F12  0      0       0       0        
SR_G01  0      0       0       0        
SR_G02  0      0       0       0        
SR_G03  0      0       0       0        
SR_G04  0      0       0       0        
SR_G05  0      0       0       0        
SR_H01  0      0       0       0        
SR_H02  0      0       0       0        
SR_H03  0      0       0       0        
SR_H04  0      0       0       0        
SR_I01  0      0       0       0        
SR_I02  0      0       0       0        
SR_I03  0      0       0       0        
SR_I04  0      0       0       0        
SR_J01  0      0       0       0        
SR_J02  0      0       0       0        
SR_J03  0      0       0       0        
SR_J04  0      0       0       0        
SR_K01  0      0       0       0        
SR_K02  0      0       0       0        
SR_K03  0      0       0       0        
SS01    0      0       0       0        
SS02    0      0       0       0        
SS03    0      0       0       0        
SS04    0      0       0       0        
SS05    0      0       0       0        
SS06    0      0       0       0        
SS07    0      0       0       0        
SS08    0      0       0       0        
SS09    0      0       0       0        
SS10    0      0       0       0        
SS11    0      0       0       0        
SS12    0      0       0       0        
SS13    0      0       0       0        
SS14    0      0       0       0        
SS15    0      0       0       0        
SS16    1      1       0.0001  2493.26  
SS17    0      0       0       0        
SS18    0      0       0       0        
SS19    0      0       0       0        
SS20    0      0       0       0        
SS21    0      0       0       0        
SS22    1      1       0.0001  2493.26  
SS23    0      0       0       0        
SS24    0      0       0       0        
SS25    0      0       0       0        
SS26    0      0       0       0        
SS27    0      0       0       0        
SS28    0      0       0       0        
SS29    0      0       0       0        
SS30    0      0       0       0        
