# ATLAS
# EW SUSY searches
# 2leptons, 2lep+jets+etmiss, 3lep

Inputfile:
XSect:           844100 fb
 Error:          1900 fb
MCEvents:        10000
 SumOfWeights:   8.4415e+06
 SumOfWeights2:  7.12589e+09
 NormEvents:     3.0472e+07

Cut                     Sum_W        Sum_W2       Acc     N_Norm       
00_all                  8.4415e+06   7.12589e+09  1       3.0472e+07   
01_trigger              6.48729e+06  5.47625e+09  0.7685  2.34177e+07  
2l_01_lepno             4.67237e+06  3.94418e+09  0.5535  1.68663e+07  
2l_02_leading_leppt     4.61328e+06  3.8943e+09   0.5465  1.6653e+07   
2l_03_no_bjets          4.56516e+06  3.85368e+09  0.5408  1.64793e+07  
2l_04_no_jets           4.42081e+06  3.73183e+09  0.5237  1.59582e+07  
2l_05_mll               4.4149e+06   3.72684e+09  0.523   1.59369e+07  
2l_06_DFOS              0            0            0       0            
2l_06_SFOS              4.4149e+06   3.72684e+09  0.523   1.59369e+07  
2l_07_DF_mll            0            0            0       0            
2l_07_SF_mll            78506        6.62708e+07  0.0093  283390       
2l_08_DF_100_mT2        0            0            0       0            
2l_08_SF_loose_mT2      0            0            0       0            
2l_2j_04_met            0            0            0       0            
2l_2j_05_nj             0            0            0       0            
2l_2j_06_ptj            0            0            0       0            
2l_2j_07_mZ             0            0            0       0            
2l_2j_08_mW             0            0            0       0            
2l_2j_09_ptZ            0            0            0       0            
2l_2j_10_dphimetZ       0            0            0       0            
2l_2j_11_dphimetW       0            0            0       0            
2l_2j_12_met_ratio_ptW  0            0            0       0            
2l_2j_13_met_ratio_ptZ  0            0            0       0            
2l_3j_05_nj             0            0            0       0            
2l_3j_06_ptj            0            0            0       0            
2l_3j_07_mZ             0            0            0       0            
2l_3j_08_mW             0            0            0       0            
2l_3j_09_etaZ           0            0            0       0            
2l_3j_10_ptZ            0            0            0       0            
2l_3j_11_dphimetISR     0            0            0       0            
2l_3j_12_dphimetj1      0            0            0       0            
2l_3j_13_dphimetW       0            0            0       0            
2l_3j_14_met_ratio_ISR  0            0            0       0            
2l_3j_15_DRjj           0            0            0       0            
2l_j_01_nbj             4.62341e+06  3.90285e+09  0.5477  1.66895e+07  
2l_j_02_leading_leppt   4.11185e+06  3.47102e+09  0.4871  1.48429e+07  
2l_j_03_nj              217791       1.83848e+08  0.0258  786178       
2l_j_04_jetpt           81882.6      6.91212e+07  0.0097  295578       
2l_j_05_met             0            0            0       0            
2l_j_06_ptZ             0            0            0       0            
2l_j_07_ptW             0            0            0       0            
2l_j_08_mZ              0            0            0       0            
2l_j_09_mW              0            0            0       0            
2l_j_10_mt2             0            0            0       0            
2l_j_11_delpWmet        0            0            0       0            
2l_j_12_DRjj            0            0            0       0            
2l_j_13_DRll_int        0            0            0       0            
3l_01_lepno             844.15       712589       0.0001  3047.2       
3l_02_no_bjet           844.15       712589       0.0001  3047.2       
3l_03_ptl1              844.15       712589       0.0001  3047.2       
3l_04_ptl3              844.15       712589       0.0001  3047.2       
3l_05_SFOS              844.15       712589       0.0001  3047.2       
3l_06_WZ_m3l            844.15       712589       0.0001  3047.2       
3l_07_WZ_mll_mZ         844.15       712589       0.0001  3047.2       
3l_07_slep_mll_mZ       0            0            0       0            
3l_08_WZ0j_nj           844.15       712589       0.0001  3047.2       
3l_08_WZ1j_nj           0            0            0       0            
3l_08_slep_mT           0            0            0       0            
3l_09_WZ0ja_met         0            0            0       0            
3l_09_WZ0jb_met         0            0            0       0            
3l_09_WZ0jc_met         0            0            0       0            
3l_09_WZ1ja_met         0            0            0       0            
3l_09_WZ1jb_met         0            0            0       0            
3l_09_slep_met          0            0            0       0            
3l_10_WZ0ja_mT          0            0            0       0            
3l_10_WZ0jb_mT          0            0            0       0            
3l_10_WZ0jc_mT          0            0            0       0            
3l_10_WZ1ja_mT          0            0            0       0            
3l_10_WZ1jb_mT          0            0            0       0            
3l_10_WZ1jc_mT          0            0            0       0            
3l_10_slep_mSFOS_high   0            0            0       0            
3l_10_slep_mSFOS_low    0            0            0       0            
3l_11_WZ1ja_pt3l        0            0            0       0            
3l_11_WZ1jc_ptl3        0            0            0       0            
3l_11_slepa_ptl3        0            0            0       0            
3l_11_slepb_ptl3        0            0            0       0            
3l_11_slepc_ptl3        0            0            0       0            
3l_11_slepd_ptl3        0            0            0       0            
3l_11_slepe_ptl3        0            0            0       0            
3l_12_WZ1ja_ptj1        0            0            0       0            
