# search for squarks and gluinos in MET_jet final states

Inputfile:
XSect:           844100 fb
 Error:          1900 fb
MCEvents:        10000
 SumOfWeights:   8.4415e+06
 SumOfWeights2:  7.12589e+09
 NormEvents:     1.1733e+08

SR                Sum_W  Sum_W2  Acc  N_Norm  
BDT-GGd1          0      0       0    0       
BDT-GGd2          0      0       0    0       
BDT-GGd3          0      0       0    0       
BDT-GGd4          0      0       0    0       
BDT-GGo1          0      0       0    0       
BDT-GGo2          0      0       0    0       
BDT-GGo3          0      0       0    0       
BDT-GGo4          0      0       0    0       
MB-C-2-1600-16    0      0       0    0       
MB-C-2-1600-22    0      0       0    0       
MB-C-2-2200-16    0      0       0    0       
MB-C-2-2200-22    0      0       0    0       
MB-C-2-2800-16    0      0       0    0       
MB-C-2-2800-22    0      0       0    0       
MB-C-4-1600-16    0      0       0    0       
MB-C-4-1600-22    0      0       0    0       
MB-C-4-2200-16    0      0       0    0       
MB-C-4-2200-22    0      0       0    0       
MB-C-4-2800-16    0      0       0    0       
MB-C-4-2800-22    0      0       0    0       
MB-C-5-1600-16    0      0       0    0       
MB-C-5-1600-22    0      0       0    0       
MB-C-5-2200-16    0      0       0    0       
MB-C-5-2200-22    0      0       0    0       
MB-C-5-2800-16    0      0       0    0       
MB-C-5-2800-22    0      0       0    0       
MB-GGd-4-1000-10  0      0       0    0       
MB-GGd-4-1000-16  0      0       0    0       
MB-GGd-4-1000-22  0      0       0    0       
MB-GGd-4-1600-10  0      0       0    0       
MB-GGd-4-1600-16  0      0       0    0       
MB-GGd-4-1600-22  0      0       0    0       
MB-GGd-4-2200-10  0      0       0    0       
MB-GGd-4-2200-16  0      0       0    0       
MB-GGd-4-2200-22  0      0       0    0       
MB-GGd-4-2800-10  0      0       0    0       
MB-GGd-4-2800-16  0      0       0    0       
MB-GGd-4-2800-22  0      0       0    0       
MB-GGd-4-3400-10  0      0       0    0       
MB-GGd-4-3400-16  0      0       0    0       
MB-GGd-4-3400-22  0      0       0    0       
MB-GGd-4-4000-10  0      0       0    0       
MB-GGd-4-4000-16  0      0       0    0       
MB-GGd-4-4000-22  0      0       0    0       
MB-SSd-2-1000-10  0      0       0    0       
MB-SSd-2-1000-16  0      0       0    0       
MB-SSd-2-1000-22  0      0       0    0       
MB-SSd-2-1600-10  0      0       0    0       
MB-SSd-2-1600-16  0      0       0    0       
MB-SSd-2-1600-22  0      0       0    0       
MB-SSd-2-2200-16  0      0       0    0       
MB-SSd-2-2200-22  0      0       0    0       
MB-SSd-2-2800-16  0      0       0    0       
MB-SSd-2-2800-22  0      0       0    0       
MB-SSd-2-3400-22  0      0       0    0       
MB-SSd-2-3400-28  0      0       0    0       
MB-SSd-2-4000-22  0      0       0    0       
MB-SSd-2-4000-28  0      0       0    0       
MB-SSd-4-1000-10  0      0       0    0       
MB-SSd-4-1000-16  0      0       0    0       
MB-SSd-4-1000-22  0      0       0    0       
MB-SSd-4-1600-10  0      0       0    0       
MB-SSd-4-1600-16  0      0       0    0       
MB-SSd-4-1600-22  0      0       0    0       
MB-SSd-4-2200-16  0      0       0    0       
MB-SSd-4-2200-22  0      0       0    0       
MB-SSd-4-2800-16  0      0       0    0       
MB-SSd-4-2800-22  0      0       0    0       
SR-2j-1600        0      0       0    0       
SR-2j-2200        0      0       0    0       
SR-2j-2800        0      0       0    0       
SR-4j-1000        0      0       0    0       
SR-4j-2200        0      0       0    0       
SR-4j-3400        0      0       0    0       
SR-5j-1600        0      0       0    0       
SR-6j-1000        0      0       0    0       
SR-6j-2200        0      0       0    0       
SR-6j-3400        0      0       0    0       
