# gluinos/squarks, 1 lepton, jets, MET

Inputfile:
XSect:           844100 fb
 Error:          1900 fb
MCEvents:        10000
 SumOfWeights:   8.4415e+06
 SumOfWeights2:  7.12589e+09
 NormEvents:     1.1733e+08

SR                Sum_W  Sum_W2  Acc  N_Norm  
0                 0      0       0    0       
2J_btag_1300      0      0       0    0       
2J_btag_1900      0      0       0    0       
2J_btag_700       0      0       0    0       
2J_bveto_1300     0      0       0    0       
2J_bveto_1900     0      0       0    0       
2J_bveto_700      0      0       0    0       
2J_disc_gluino    0      0       0    0       
2J_disc_squark    0      0       0    0       
4J_disc_hx        0      0       0    0       
4J_disc_lx        0      0       0    0       
4J_hx_btag_1000   0      0       0    0       
4J_hx_btag_1600   0      0       0    0       
4J_hx_btag_2200   0      0       0    0       
4J_hx_bveto_1000  0      0       0    0       
4J_hx_bveto_1600  0      0       0    0       
4J_hx_bveto_2200  0      0       0    0       
4J_lx_btag_1000   0      0       0    0       
4J_lx_btag_1600   0      0       0    0       
4J_lx_btag_2200   0      0       0    0       
4J_lx_bveto_1000  0      0       0    0       
4J_lx_bveto_1600  0      0       0    0       
4J_lx_bveto_2200  0      0       0    0       
6J_btag_1400      0      0       0    0       
6J_btag_2100      0      0       0    0       
6J_btag_2800      0      0       0    0       
6J_btag_700       0      0       0    0       
6J_bveto_1400     0      0       0    0       
6J_bveto_2100     0      0       0    0       
6J_bveto_2800     0      0       0    0       
6J_bveto_700      0      0       0    0       
6J_disc_gluino    0      0       0    0       
6J_disc_squark    0      0       0    0       
